,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kautokeino,NO,69.0125,23.0412,5.22,96,100,3.85,overcast clouds
1,Ancud,CL,-41.8697,-73.8203,58.53,58,100,9.57,overcast clouds
2,Sinnamary,GF,5.3833,-52.95,80.26,85,92,7.85,overcast clouds
3,Mildura,AU,-34.2,142.15,66.16,59,75,9.22,broken clouds
4,Avarua,CK,-21.2078,-159.775,77.05,94,90,3.44,light rain
5,Bilibino,RU,68.0546,166.4372,-35.16,99,13,3.96,few clouds
6,Albany,US,42.6001,-73.9662,39.07,83,100,13.8,light rain
7,Lagoa,PT,39.05,-27.9833,61.95,64,50,23.55,scattered clouds
8,Pevek,RU,69.7008,170.3133,-26.79,100,96,6.24,overcast clouds
9,Torbay,CA,47.6666,-52.7314,47.17,100,90,14.97,overcast clouds
10,Provideniya,RU,64.3833,-173.3,-3.95,80,30,8.05,scattered clouds
11,Kapaa,US,22.0752,-159.319,75.52,69,40,13.8,scattered clouds
12,Aktash,RU,50.3,87.7333,-7.06,98,99,1.79,overcast clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,73.42,49,0,14.97,clear sky
14,Bluff,NZ,-46.6,168.3333,43.66,83,100,2.24,overcast clouds
15,Kinsale,IE,51.7075,-8.5306,42.17,75,75,19.57,broken clouds
16,Sakaiminato,JP,35.55,133.2333,44.58,87,75,6.91,thunderstorm with rain
17,Alofi,NU,-19.0595,-169.9187,71.49,94,79,1.14,light rain
18,Labuhan,ID,-6.8844,112.2051,79.54,86,100,9.13,light rain
19,Yaguajay,CU,22.3272,-79.2378,78.12,60,15,6.02,few clouds
20,Aklavik,CA,68.2191,-135.0107,2.23,78,90,17.27,light snow
21,Yellowknife,CA,62.456,-114.3525,12.72,92,90,11.5,snow
22,Atuona,PF,-9.8,-139.0333,78.04,77,6,18.66,clear sky
23,Bilma,NE,18.6853,12.9164,83.14,14,0,7.36,clear sky
24,Araouane,ML,18.9048,-3.5265,87.93,19,85,6.22,overcast clouds
25,Punta Arenas,CL,-53.15,-70.9167,51.91,43,90,25.32,overcast clouds
26,Jamestown,US,42.097,-79.2353,33.12,86,90,21.85,snow
27,Busselton,AU,-33.65,115.3333,64.54,74,68,9.82,broken clouds
28,Severo-Kurilsk,RU,50.6789,156.125,34.63,74,92,10.33,overcast clouds
