,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,49.62,81,40,24.16,light rain
1,San Patricio,US,28.017,-97.5169,66.61,68,100,7.23,overcast clouds
2,Panama City,PA,8.9936,-79.5197,82.35,87,40,10.36,scattered clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,76.96,82,80,11.05,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,77.11,75,9,17.74,clear sky
5,Torquay,GB,50.4638,-3.5143,39.76,81,47,20.47,scattered clouds
6,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,40,3.44,scattered clouds
7,Yellowknife,CA,62.456,-114.3525,18.12,93,90,14.97,light snow
8,Taoudenni,ML,22.6783,-3.9836,66.83,23,2,9.93,clear sky
9,Hobart,AU,-42.8794,147.3294,60.66,67,72,4.61,broken clouds
10,Roebourne,AU,-20.7833,117.1333,83.88,55,26,1.21,light rain
11,Tuatapere,NZ,-46.1333,167.6833,64.31,38,16,3.31,few clouds
12,Mahebourg,MU,-20.4081,57.7,73.69,83,40,3.44,scattered clouds
13,Cape Town,ZA,-33.9258,18.4232,61.21,94,20,4.61,few clouds
14,Dikson,RU,73.5069,80.5464,-15.77,100,100,13.04,overcast clouds
15,Port Elizabeth,ZA,-33.918,25.5701,64.69,77,0,19.57,clear sky
16,Beibei,CN,29.8256,106.4339,55.87,77,100,0.96,overcast clouds
17,Hithadhoo,MV,-0.6,73.0833,81.23,76,61,18.12,broken clouds
18,Mataura,NZ,-46.1927,168.8643,67.26,29,68,5.23,broken clouds
19,Lebu,CL,-37.6167,-73.65,54.48,76,5,19.39,clear sky
20,Tasiilaq,GL,65.6145,-37.6368,26.76,96,98,5.93,overcast clouds
21,Weligama,LK,5.9667,80.4167,75.36,89,100,3.02,light rain
22,Kapaa,US,22.0752,-159.319,82.72,57,20,13.8,few clouds
23,Vardo,NO,70.3705,31.1107,12.4,75,100,18.45,overcast clouds
24,Khatanga,RU,71.9667,102.5,-8.05,98,100,9.31,overcast clouds
25,Faanui,PF,-16.4833,-151.75,81.73,72,98,10.63,overcast clouds
26,Magadan,RU,59.5667,150.8,14.77,84,100,1.95,light snow
27,Carnarvon,AU,-24.8667,113.6333,75.27,64,0,12.66,clear sky
28,Alice Springs,AU,-23.7,133.8833,69.35,46,0,0.0,clear sky
29,Portland,US,45.5234,-122.6762,62.53,61,75,10.36,broken clouds
30,Kloulklubed,PW,7.0419,134.2556,79.3,70,52,11.21,broken clouds
31,Chkalovsk,RU,56.7647,43.2433,35.19,93,100,9.71,overcast clouds
32,Flagstaff,US,35.1981,-111.6513,62.26,23,1,11.5,clear sky
33,Chokurdakh,RU,70.6333,147.9167,-39.05,100,84,1.5,broken clouds
34,Sibolga,ID,1.7427,98.7792,73.98,88,100,2.93,overcast clouds
35,Esperance,AU,-33.8667,121.9,64.24,80,82,17.07,broken clouds
36,Snasa,NO,64.2457,12.3778,10.4,94,51,4.12,broken clouds
37,Albany,US,42.6001,-73.9662,30.85,94,83,1.25,broken clouds
38,Sault Sainte Marie,CA,46.5168,-84.3333,32.29,88,90,0.0,light snow
39,Namibe,AO,-15.1961,12.1522,70.39,72,94,4.25,overcast clouds
40,Ribeira Grande,PT,38.5167,-28.7,62.1,61,91,4.34,overcast clouds
41,Walker Mill,US,38.8754,-76.8883,51.98,50,75,0.0,broken clouds
42,San Quintin,MX,30.4833,-115.95,70.97,41,0,11.72,clear sky
43,Upernavik,GL,72.7868,-56.1549,-8.52,75,10,9.35,clear sky
44,Provideniya,RU,64.3833,-173.3,-5.69,59,0,8.95,clear sky
45,Kirakira,SB,-10.4544,161.9205,85.51,70,68,8.05,broken clouds
46,Hay River,CA,60.8156,-115.7999,6.78,78,90,10.36,light snow
47,Aklavik,CA,68.2191,-135.0107,-12.17,86,100,18.12,overcast clouds
48,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,40,3.44,scattered clouds
49,La Rioja,ES,42.25,-2.5,33.58,99,100,14.9,overcast clouds
50,Avarua,CK,-21.2078,-159.775,78.85,61,75,5.75,broken clouds
